원문	한국어	글자수	갈래	근거	확신도	비고
Adams	애덤스	3	영어권	영어 성 Adams 국내 통용 표기	확실	
Adri	아드리	3	스페인어	Adrián 애칭, 선례 Adrian→아드리안	확실	⚠겹침: 절14의 기존 Adry→아드리와 같은 한국어
Adria	아드리아	4	바스크·카탈루냐	카탈루냐 Adrià	확실	
Agus	아구스	3	스페인어	Agustín 애칭, gu=ㄱ	확실	
Aizpeolea	아이스페올레아	7	바스크·카탈루냐	바스크 성, 바스크 z=ㅅ	확실	길이 7 초과
Aka	아카	2	핸들·조어	스페인어 음가 그대로	확실	
Albert	알베르트	4	바스크·카탈루냐	카탈루냐 Albert(어말 t 발음)	갈림	프랑스식 알베르는 기존 Alber→알베르와 겹쳐서 안 썼다. 영어식이면 앨버트
Alexsanz	알렉산스	4	스페인어	Alex+Sanz(성), 스페인어 z=ㅅ	확실	
Ali	알리	2	핸들·조어	스페인어 음가	확실	
Alicates	알리카테스	5	농담·사물	'펜치'지만 규칙 5로 음역	확실	
Amalia	아말리아	4	스페인어	스페인어 음가	확실	
Amiama	아미아마	4	바스크·카탈루냐	이베리아계 성	확실	
Anabel	아나벨	3	스페인어	스페인어 음가	확실	
Angel	앙헬	2	스페인어	Ángel, g+e=ㅎ. 선례 Sergio→세르히오	확실	
Anto	안토	2	스페인어	Antonio 애칭	확실	
Anudora	아누도라	4	핸들·조어	스페인어 음가	확실	
Apoda	아포다	3	핸들·조어	스페인어 apodar 계열, 음가 그대로	확실	
Aquoth	아쿠오스	4	핸들·조어	qu+o=ㅋ+우, 어말 th는 영어 음가 ㅅ	갈림	후보 아쿠오트(스페인어식 th=ㅌ)
Arkerion	아르케리온	5	핸들·조어	스페인어 음가, k=ㅋ	확실	
Arnaldo	아르날도	4	스페인어	스페인어 음가	확실	
Arnau	아르나우	4	바스크·카탈루냐	카탈루냐 Arnau	확실	
Auron	아론	2	대중문화	파이널 판타지 X의 캐릭터. 나무위키 표제어가 「아론(파이널 판타지 X)」이고 일본어 원명이 アーロン이다	확실	유지자 판정 2026-08-17: 파이널 판타지 통용 표기로 확정
Bagliona	바글리오나	5	핸들·조어	스페인어 gli=글리	확실	
Balsa	발사	2	농담·사물	'뗏목'이나 규칙 5로 음역	확실	
Barb	바브	2	대중문화	영어 애칭 Barb	갈림	무엇의 차용인지 불확정. 절3에 BARB는 원문 유지 판정이 따로 있음
Batichico	바티치코	4	대중문화	Bati(배트맨의 스페인어 접두)+chico를 음역	확실	
Bombabarros	봄바바로스	5	농담·사물	bomba+barros, 규칙 5로 음역	확실	
Brillantet	브리얀테트	5	핸들·조어	카탈루냐 지소형. ll은 yeísmo(세비야·마요르카 선례)	확실	
Burbu	부르부	3	핸들·조어	burbuja 축약, 스페인어 음가	확실	
Buxter	북스테르	4	핸들·조어	규칙 4 기본값 스페인어, x=ㄱㅅ	갈림	영어 Baxter 연상이면 벅스터
Cacharro	카차로	3	농담·사물	'고물', 규칙 5로 음역. ch=ㅊ	확실	
Caderita	카데리타	4	농담·사물	'작은 엉덩이', 규칙 5로 음역	확실	
Caesakun	카에사쿤	4	핸들·조어	스페인어 음가+일본어 접미 -kun	확실	
Cantimplora	칸팀플로라	5	농담·사물	'수통', 규칙 5로 음역	확실	
Carlitxs	카를리치스	5	핸들·조어	Carlitos의 카탈루냐식 철자, tx=ㅊ	갈림	후보 카를릿스
Casareno	카사레노	4	핸들·조어	스페인어 음가	확실	
Chris	크리스	3	영어권	영어 통용	확실	
Conan	코난	2	대중문화	국내 통용 코난(규칙 7)	확실	
Cook	쿡	1	영어권	영어 성 Cook 통용	확실	
Cotao	코타오	3	핸들·조어	스페인어·갈리시아 음가	확실	
Crow	크로우	3	핸들·조어	규칙 4, 낱말이 명백한 영어 crow	확실	
Dana	다나	2	영어권	영어·스페인어 공통 다나	확실	
Dandy	댄디	2	핸들·조어	규칙 4, 명백한 영어 dandy	확실	
Danimone	다니모네	4	핸들·조어	Dani+mone, 스페인어 음가	확실	
Darcko	다르코	3	핸들·조어	슬라브계 이름 Darko와 스페인어 음가가 같은 결과다	확실	
David	다비드	3	스페인어	스페인어 David	확실	
Deinobra	데이노브라	5	핸들·조어	Deino+obra, ei=에이	확실	
Deivako	데이바코	4	핸들·조어	스페인어 음가, v=ㅂ	확실	
Delo	델로	2	핸들·조어	스페인어 음가	확실	
Dici	디시	2	핸들·조어	스페인어 c+i=ㅅ	확실	
Dixpler	딕스플레르	5	핸들·조어	스페인어 x=ㄱㅅ	확실	
Dobleboa	도블레보아	5	핸들·조어	doble+boa, 스페인어 음가	확실	
Dudu	두두	2	핸들·조어	스페인어 음가	확실	
Einheriar	에인헤리아르	6	신화·전설	북유럽 신화 Einherjar(발할라의 전사들)의 국내 통용 표기	확실	길이 6 초과
Elisabet	엘리사베트	5	바스크·카탈루냐	카탈루냐 Elisabet, s=ㅅ	확실	
Eloy	엘로이	3	스페인어	스페인어 음가	확실	
Emer	에메르	3	신화·전설	아일랜드 신화 얼스터 대계의 Emer(쿠 훌린의 아내)로 보인다. 이 게임에 아일랜드 신화 묶음이 이미 있다(Becuille·Bodhmall·Tlachtga·Kiamhe·Aed·Mergin). 철자대로 읽은 에메르는 스페인어 음가와도 같아 양쪽을 덮는다	갈림	한국어 위키백과 표제어는 「에버르」(ko.wikipedia.org/wiki/에버르), 나무위키 쿠 훌린 문서는 에메르. 아일랜드 계통이 아니면 스페인어 에메르
Emi	에미	2	스페인어	스페인어 애칭	확실	
Enric	엔리크	3	바스크·카탈루냐	카탈루냐 Enric	확실	
Esleyder	에슬레이데르	6	핸들·조어	중남미계 이름, 스페인어 음가 ey=에이	확실	길이 6 초과
Essu	에수	2	핸들·조어	스페인어 ss=ㅅ	확실	
Fran	프란	2	스페인어	Francisco 애칭	확실	
Frost	프로스트	4	핸들·조어	규칙 4, 명백한 영어 frost	확실	
Fumanchu	푸만추	3	대중문화	Fu Manchu의 국내 통용 푸만추	확실	
Fusi	푸시	2	핸들·조어	스페인어 음가	확실	
Galed	갈레드	3	핸들·조어	스페인어 음가	확실	
Galkrez	갈크레스	4	핸들·조어	스페인어 z=ㅅ	확실	
Garcia	가르시아	4	스페인어	García, c+i=ㅅ	확실	
Garliwis	가를리위스	5	핸들·조어	스페인어 음가, wi=위	확실	
Gatopelos	가토펠로스	5	농담·사물	gato+pelos, 규칙 5로 음역	확실	
Geronimo	헤로니모	4	스페인어	Gerónimo, g+e=ㅎ. 선례 Sergio→세르히오	확실	
Gojira	고지라	3	대중문화	국내 통용 고지라(규칙 7)	확실	
Guti	구티	2	스페인어	gu+i=ㄱ. 선례 Miguel→미겔	확실	
Gustave y Sophia	구스타브와 소피아	8	2인조	Gustave는 프랑스계 철자(선례 Olivier→올리비에). 앞말 무받침이라 「와」	확실	2인조라 길이 9
Hanzo	한조	2	대중문화	일본 이름 한조의 국내 통용	확실	
Harckal	하르칼	3	핸들·조어	h를 ㅎ로 적는 선례(Hibis→히비스, Hisopo→히소포)	갈림	묵음 원칙대로면 아르칼
Helix	헬릭스	3	핸들·조어	규칙 4, 명백한 영어 helix	확실	
Hellfire	헬파이어	4	핸들·조어	규칙 4, 명백한 영어 hellfire	확실	
Isma	이스마	3	스페인어	Ismael 애칭	확실	
