bulbapedia_title,es,ko,ja
AZ,A. Z.,AZ,ＡＺ
Aaron,Alecrán,충호,リョウ
Aarune,Perico,성한,ギリー
Acerola,Zarala,아세로라,アセロラ
Adaman,Adamas,찬석,セキ
Akari (game),Kira,윤슬,ショウ
Alain,Alain,알랭,アラン
Alder,Mirto,노간주,アデク
Alexa,Alexia,팬지,パンジー
Aliana,Amapola,아케비,アケビ
Allister,Alistair,어니언,オニオン
Amanita,Trufa,솔이,ショウロ
Amarys,Nerina,네리네,ネリネ
Anabel,Destra,리라,リラ
Andi,Ainara,앙리,アンリ
Ansha,Anya,안샤,アンシャ
Anthe,Aster,샤론,シャロン
Anthea and Concordia,Amor,버베나,バーベナ
Archer,Atlas,아폴로,アポロ
Archie,Aquiles,아강,アオギリ
Arezu,Sera,성화,ヒナツ
Argenta,Argenta,맨드라,ケイト
Ariana,Atenea,아테나,アテナ
Arlo,Arlo,알로,アルロ
Arven,Damián,페퍼,ペパー
Asami,Sakura,조미,アサミ
Ash Ketchum,Ash Ketchum,한지우,サトシ
Aster,Felicia,치아나,シガナ
Atticus,Henzo,추명,シュウメイ
Ava,Ava,에이바,エイバ
Avery,Dreo,세이버리,セイボリー
Ball Guy,Bolifacio,볼가이,ボールガイ
Baoba,Baoba,바오바,バオバ
Barry (game),Israel,용식,
Bea,Judith,채두,サイトウ
Bebe,Tecla,이수진,ミズキ
Becca,Neroa,베키,ベッキー
Bede,Berto,비트,ビート
Ben (Ranger),Verán,하눌,ナツヤ
Benga,Guayo,구아버,バンジロウ
Beni,Ardizo,야모,ムベ
Bertha,Gaia,들국화,キクノ
Bettie,Bettie,연,ユイ
Bianca,Bel,벨,ベル
Bill,Bill,이수재,マサキ<br>
Billy Jo,Rita,루,ルー
Blanche,Blanche,블랑쉬,ブランシェ
Blue (Adventures),Azul,그린,グリーン
Blue (game),Azul,그린,グリーン
Bonnie,Clem,유리카,ユリーカ
Brandon,Valente,기선,ジンダイ
Brandon (anime),Valente,기선,ジンダイ
Brassius,Brais,콜사,コルサ
Brendan (game),Bruno,휘웅,ユウキ
Briar,Brie,브라이어,ブライア
Brock,Brock,웅,タケシ
Bronius,Sumra,스므라,スムラ
Bruno,Bruno,시바,シバ
Brycen,Junco,담죽,ハチク
Bryony,Begonia,바라,バラ
Buck,Bulgur,맥,バク
Buena,Buena,규화,アオイ
Bugsy,Antón,호일,ツクシ
Burgh,Camus,아티,アーティ
Byron,Acerón,동관,トウガン
Caitlin,Catleya,카틀레야,カトレア
Cal (game),Robe{{sup/4|HGSS}}<br>Rolán{{sup/2|GSC}},빛남 {{sup/4|HGSS}}<br>빛나 {{sup/2|GSC}},ひかる {{sup/4|HGSS}}<br>ヒカル {{sup/2|GSC}}
Calaba,Genara,포화,ユウガオ
Calem (game),Kalm,칼름,カルム
Cameron (Johto),"rowspan=""2"" | F. Otto",현상,ゲンゾー
Canari,Naria,카나리,カナリィ
Candela,Candela,칸델라,キャンデラ
Candice,Inverna,무청,スズナ
Captain Stern,Babor,해양관장,クスノキ館長
Cara Liss,Carmen Babia,모젤란,ウカッツ
Caraway,Caravea,캐러웨이,キャラウェイ
Carmen,Alba,다은,タナカ
Carmine,Corin,시유,ゼイユ
Cassiopeia,Casiopea,카시오페아,カシオペア
Cassius,Olivier,크로케아,クロケア
Cedric Juniper,Carrasco Encina,주누운박사,アララギパパ
Celestine,Celestine,<!--Transcription of her Japanese name-->,セレスティン
Celio,Celio,서유석,ニシキ
Celosia,Caléndula,코레아,コレア
Chalmers,Sebastián,적환,アカマロ
Charles,Carlos,찰스,チャールズ
Charm (Hisui),Jara,송희,オマツ
Chaz (game),Liano,만성,カズラ
Cheren,Cheren,체렌,チェレン
Cheryl,Malta,모미,モミ
Chili,Zeo,팟,ポッド
Choy,Choi,경채,タイサイ
Chuck,Aníbal,사도,シジマ
Cilan,Millo,덴트,デント
Claddia,Brenda,이브나,キィナ
Clair,Débora,이향,イブキ
Clavell,Clavel,클라벨,クラベル
Clay,Yakón,야콘,ヤーコン
Clembot,Lembot,시트로이드,シトロイド
Clemont,Lem,시트론,シトロン
Cliff (GO),Cliff,클리프,クリフ
Clover,Zarza,죽희,オタケ
Cogita,Metis,코기토,コギト
Coin (Hisui),Ortiga,매희,オウメ
Colress,Acromo,아크로마,アクロマ
Colza,Napa,평지,ナバナ
Copycat (character),Copiona,흉내내기 아가씨,モノマネむすめ
Corbeau,Córax,카라스바,カラスバ
Cordy,Cordilino,코르디,コーディ
Courtney,Carola,구열,カガリ
Crasher Wake,Mananti el Destructor,맥실러 <br> 맥시멈가면,マキシ<br>マキシマム仮面
Cress,Maíz,콘,コーン
Crispin,Denis,하솔,アカマツ
Curtis,Julián,철권,テツ
Cyllene,Selena,금경,シマボシ
Cynthia,Cintia,난천,シロナ
Cyrano,Mirtilo,시아노,シアノ
Cyrus,Helio,태홍,アカギ
DJ,Nardo,준화,セージ
DJ Mary,Rosa,호두,クルミ
DYN4MO,Electribu Dinamo,ZZ4,ＤＧ４
Dahlia,Delila,달리아,ダリア
Daisy (anime),Daisy,하나,サクラ
Dana,Meridia,라쥬르네,ラジュルネ
Darach,Kokuran,코크런,コクラン
Dendra,Kendra,운향,キハダ
Dexio,Dexio,덱시오,デクシオ
Dexter,Salomón,빅,ビック
Diantha,Dianta,카르네,カルネ
Dock,Muéllez,솔방울,ツガ
Dr. Footstep,Dr. Pisada,발도장박사 <br>발자국박사,フトマキ <br>あしあと博士
Drake,Dracón,권수,ゲンジ
Drake (Orange League),Drake,강산,ユウジ
Drasna,Drácena,드라세나,ドラセナ
Drayden,Lirio,사간,シャガ
Drayton,Levi,제빈,カキツバタ
Dulse,Darius,달스,ダルス
Earl Dervish,Primo,다배워,ジョバンニ
Eldritch,Ruperto,도란,ナミキ
Elesa,Camila,카밀레,カミツレ
Elio (game),Elio,영태,ヨウ
Emma,Matière,마티에르,マチエール
Emmet,Caril,하행,クダリ
Erbie,Erby,에르비,エルビー
Eri,Erin,비파,ビワ
Erik and Sara,Enrique{{sup/3|FRLG}}{{sup/7|PE}}<br>Eric{{sup/1|RBY}},효지,コージ
Erika,Erika,민화,エリカ
Ethan (game),Eco,심향,ヒビキ
Evelyn,Vésper,르수아르,ルスワール
Faba,Fabio,자우보,ザオボー
Falkner,Pegaso,비상,ハヤト
Fantina,Fantina,멜리사,メリッサ
Felicity,Felicity,수희,スージー
Fennel,Oryza,주리,マコモ
Flannery,Candela,민지,アスナ
Flint,Fausto,대엽,オーバ
Flint (Kanto),Flint,무능해,ムノー
Florian (game),Florian,보민,ハルト
Gabby and Ty,Gabi y Teo{{sup/6|ORAS}}<br>Gabi-Teo{{sup/3|RSE}},마리&다이,マリとダイ
Gaeric,Rauko,르푸,ハマレンゲ
Gardenia,Gardenia,유채,ナタネ
Geeta,Ságita,테사,オモダカ
Ghetsis,Ghechis,게치스,ゲーチス
Giacomo,Anán,피나,ピーニャ
Giallo,Giallo,쟈로,ジャロ
Ginkgo Guild,Compañía Ginkgo,은행상회,イチョウ商会
Ginter,Bilo,백은,ギンナン
Giovanni,Giovanni,비주기,サカキ
Glacia,Nívea,미혜,プリム
Gladion,Gladio,글라디오,グラジオ
Glitterati,Celebridad,셀럽,セレブ
Gloria (game),Gloria,우리,ユウリ
Gordie,Morris,마쿠와,マクワ
Gorm,Blau,아줄,アスラ
Grace (Kalos),Vera,사키,サキ
Grand Oak,Gran Oak,오대호,ダイオーキド
Grant,Lino,자크로,ザクロ
Green (game),Verde,블루,ブルー
Greta,Coro,나리,コゴミ
Grimsley,Aza,블래리,ギーマ
Griselle,Grisela,그리젤,グリーズ
Grisham,Grisel,그리,グリ
Grusha,Grusha,그루샤,グルーシャ
Gurkinn,Cornelio,콘콤부르,コンコンブル
Guzma,Guzmán,구즈마,グズマ
Gwynn,Inma,무쿠,ムク
Gym guide,Conse,가이든,ガイドー
Hala,Kaudan,할라,ハラ
Hapu,Hela,하푸우,ハプウ
Harmony (game),Harmony,새아,セイカ
Harrington,Hernando,가빈,イヌガヤ
Hassel,Hesperio,팔자크,ハッサク
Hau,Tilo,하우,ハウ
Hawes,Vero,아보레,キダチ
Heath,Eriad,헤더,ヘザー
Helena,Helena,해바라기,ヒマワリ
Hilbert (game),Lucho,투지,トウヤ
Hilda (game),Liza,투희,トウコ
Honey (character),Tania,반디나,ミツバ
Hop,Paul,호브,ホップ
